id,k,eigs,ri,voi
80085,23,23,0.463239,2.051634
80090,15,15,0.413113,2.633525
8068,9,9,0.577162,1.794677
81066,24,24,0.200385,2.860315
81090,58,58,0.239557,3.329632
81095,25,25,0.231672,2.991192
87015,6,6,0.375033,2.315834
92014,46,46,0.193781,3.344916
94095,24,24,0.168361,3.582662
97010,19,19,0.430596,2.001761
