id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.523013,1.738573,16.06899796403013,154734.0
100039,11,11,0.419685,2.284592,7.1653219980653375,39218.0
100099,6,6,0.542505,1.993448,14.005013338057324,102987.0
10081,16,16,0.254457,2.639855,13.86779629602097,162456.0
101027,12,12,0.290996,2.465658,9.51633099000901,88527.0
101084,17,17,0.280490,2.872612,6.597956920973957,33557.0
102062,37,37,0.048578,4.072455,10.41500848904252,34253.0
103006,7,7,0.365354,2.844839,8.837536757811904,48711.0
103029,9,9,0.362177,2.675163,11.74318995908834,94640.0
103078,13,13,0.370954,2.684702,9.468122373102233,69413.0
104010,13,13,0.096147,3.431144,5.691813206998631,28220.0
104055,16,16,0.224268,2.605311,8.789696773979813,85160.0
105027,5,5,0.340027,2.687285,9.07879534107633,55314.0
106005,7,7,0.454938,1.946161,18.357548348838463,115702.0
106047,4,4,0.461606,2.401327,18.484445825917646,64978.0
107014,19,19,0.240480,3.020880,6.936277166940272,46158.0
107045,13,13,0.194499,2.906057,7.996674353955314,61733.0
107072,19,19,0.189061,3.039000,6.336021983064711,36506.0
108004,5,5,0.317263,2.573457,5.977807756047696,22715.0
108036,14,14,0.226096,3.003726,6.898991007125005,48833.0
108069,3,3,0.566245,1.850953,11.84097211412154,37495.0
109055,3,3,0.545197,1.831486,20.935800079023466,53334.0
112056,4,4,0.444884,2.089188,16.721267251996323,104102.0
112090,25,25,0.216209,3.227534,7.937091115862131,43146.0
117025,20,20,0.204676,2.778890,8.977778521832079,94100.0
118015,37,37,0.163354,3.331005,14.106431510997936,117816.0
118031,23,23,0.215740,3.242675,10.448031283915045,101228.0
118072,15,15,0.213023,3.107876,9.810541199054567,91740.0
120003,29,29,0.245392,2.859849,19.607951167970896,185584.0
120093,36,36,0.169450,3.150087,17.507751567056403,199791.0
123057,15,15,0.308287,2.662022,9.080744731007144,62337.0
128035,43,43,0.129730,3.331254,15.999102422967551,99392.0
130014,7,7,0.365952,2.594613,10.616541350027546,73698.0
130066,11,11,0.357582,2.327174,10.245115919969976,91819.0
134049,21,21,0.178738,3.286194,7.383578682085499,37063.0
134067,24,24,0.132764,3.539391,7.430014895042403,36238.0
140006,15,15,0.464667,2.173422,14.85323281516321,180431.0
