id,k,eigs,ri,voi
77062,11,11,0.241557,3.378426
78098,21,21,0.192990,3.374450
79073,16,16,0.226534,3.383941
80085,23,23,0.151983,3.089300
80090,15,15,0.093061,3.719387
8068,9,9,0.216407,2.825416
81066,24,24,0.099783,3.774222
81090,58,58,0.155203,3.940104
81095,25,25,0.148923,3.514537
87015,6,6,0.335396,2.830638
92014,46,46,0.129461,3.700201
94095,24,24,0.149828,3.767500
97010,19,19,0.226811,3.023392
