id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.558579,1.680267,28.62615098594688,416936.0
100039,11,11,0.346854,2.329700,8.281268556136638,100578.0
100099,6,6,0.549308,1.938417,20.64681948092766,275452.0
10081,16,16,0.232959,2.659997,22.42438038205728,415498.0
101027,12,12,0.368544,2.142637,14.889539864845574,245459.0
101084,17,17,0.377164,2.523332,9.209071286022663,89064.0
102062,37,37,0.096799,3.892129,10.631859777960926,95347.0
103006,7,7,0.425716,2.649288,10.97192830988206,128180.0
103029,9,9,0.456341,2.136747,18.49000845011324,254059.0
103078,13,13,0.306911,2.561279,13.041088757105172,177267.0
104010,13,13,0.094979,3.364917,6.433846113970503,77848.0
104055,16,16,0.173223,2.776328,14.542145170038566,234126.0
105027,5,5,0.356398,2.689943,11.6918657629285,159458.0
106005,7,7,0.525829,1.946820,30.252383813029155,287086.0
106047,4,4,0.499755,2.129392,20.043278747005388,162998.0
107014,19,19,0.259996,3.026073,9.915795003063977,132467.0
107045,13,13,0.327361,2.605732,10.954069771105424,161233.0
107072,19,19,0.169031,3.130580,10.026994159910828,102954.0
108004,5,5,0.375476,2.312984,7.874587586848065,67190.0
108036,14,14,0.216186,3.032423,9.86826400877908,134061.0
108069,3,3,0.605833,1.715583,9.779010308906436,99869.0
109055,3,3,0.536125,1.881073,21.621429789811373,143749.0
112056,4,4,0.458501,1.952463,27.69808262796141,285978.0
112090,25,25,0.213794,3.205847,11.356500962050632,123022.0
117025,20,20,0.232704,2.597083,14.48269324703142,253700.0
118015,37,37,0.224981,2.949680,18.427926676813517,294055.0
118031,23,23,0.253567,3.113155,15.910679782973602,256230.0
118072,15,15,0.245632,2.871769,15.776943617034703,238864.0
120003,29,29,0.277302,2.863400,25.28366374317557,462829.0
120093,36,36,0.172279,3.090033,26.049201749032363,498007.0
123057,15,15,0.318962,2.641443,11.356524198083209,166234.0
128035,43,43,0.205472,3.031003,21.587046512169763,258472.0
130014,7,7,0.362260,2.303780,14.27945450390689,193844.0
130066,11,11,0.377623,2.258633,14.432421872857958,236088.0
134049,21,21,0.130412,3.366993,11.12751947180368,98172.0
134067,24,24,0.153360,3.110333,9.062947263009846,96128.0
140006,15,15,0.672172,1.888642,24.51542129786685,457685.0
140088,22,22,0.302334,2.807383,29.32820206414908,589878.0
14085,15,15,0.088092,3.185980,10.788444302976131,150950.0
14092,18,18,0.324577,3.155048,13.63852720009163,156640.0
141012,4,4,0.386801,2.297625,9.850477579049766,136613.0
141048,7,7,0.500710,2.438381,12.47237161709927,146210.0
145059,31,31,0.174698,3.093303,16.033474436961114,182010.0
145079,21,21,0.207824,3.002024,14.47877945797518,202779.0
146074,38,38,0.404689,2.625137,29.95873290603049,467222.0
147077,21,21,0.211528,3.056636,11.308481879997998,135509.0
147080,28,28,0.194578,3.077806,12.209226128878072,124130.0
15011,34,34,0.226108,2.956887,17.426590766059235,218735.0
15062,16,16,0.333821,2.460049,10.344956034095958,143631.0
156054,44,44,0.073184,3.958691,23.77269176999107,410955.0
157032,12,12,0.251376,2.413720,22.73451830004342,393024.0
157087,28,28,0.189879,3.019816,19.66454101609997,253030.0
159002,19,19,0.157561,3.044702,18.37125880480744,339274.0
159022,7,7,0.445568,2.416751,23.61991075193509,503651.0
160006,18,18,0.256977,2.706665,17.77053235983476,275099.0
16004,36,36,0.180448,3.131395,14.48676179908216,124959.0
160067,7,7,0.591888,2.032327,21.40886730491184,354495.0
16068,8,8,0.188189,2.718028,10.869500953005629,172916.0
161045,9,9,0.395544,1.910427,29.41352705308236,601735.0
163004,21,21,0.226449,2.983758,19.009388235164806,289030.0
163096,16,16,0.347374,2.327807,10.406698051141577,146345.0
