id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.351499,2.003377,5.48902002396062,243512.0
100039,11,11,0.491872,1.780697,4.112095233052969,250412.0
100099,6,6,0.492646,1.721994,5.64657647209242,242912.0
10081,16,16,0.269771,2.630545,5.710461569018662,244059.0
101027,12,12,0.296444,2.266011,4.36540548899211,248922.0
101084,17,17,0.307544,2.363702,4.690284345997497,249518.0
102062,37,37,0.099497,3.899823,6.857041643001139,253176.0
103006,7,7,0.525293,2.256807,6.6259013779927045,250164.0
103029,9,9,0.371267,2.630423,6.047603150829673,245201.0
103078,13,13,0.301801,2.513745,5.4124581278301775,247615.0
104010,13,13,0.093458,3.501022,4.215576362097636,250582.0
104055,16,16,0.192213,2.719353,4.916050527943298,245931.0
105027,5,5,0.310743,2.816807,4.326471040956676,247529.0
106005,7,7,0.513377,1.931931,6.528422356117517,242787.0
106047,4,4,0.421142,2.405993,6.150749878957868,245187.0
107014,19,19,0.228404,3.136382,4.98654123605229,250008.0
107045,13,13,0.231035,2.807290,4.380020988173783,249067.0
107072,19,19,0.210852,2.966510,5.143763817148283,252203.0
108004,5,5,0.292162,2.531735,3.979138290975243,252115.0
108036,14,14,0.218732,3.102424,4.4964987821877,248498.0
108069,3,3,0.485054,1.960055,6.001910738879815,250226.0
109055,3,3,0.591218,1.818778,5.3187491009011865,248260.0
112056,4,4,0.466924,2.048175,7.617920805932954,243847.0
112090,25,25,0.267838,3.067555,6.034224171889946,251639.0
117025,20,20,0.296388,2.398969,5.491076606092975,245690.0
118015,37,37,0.164847,3.330331,7.842486442998052,244129.0
118031,23,23,0.341305,2.746620,5.832824306096882,247692.0
118072,15,15,0.299072,2.823282,6.217938407091424,247678.0
120003,29,29,0.305135,2.737129,8.988408924080431,243929.0
120093,36,36,0.111005,3.531372,7.642537656007335,245678.0
123057,15,15,0.352850,2.589679,4.941240350017324,246649.0
128035,43,43,0.242451,3.027429,9.782307964982463,249038.0
130014,7,7,0.343193,2.408495,4.719467516057193,246030.0
130066,11,11,0.321618,2.471884,6.593844912946224,241272.0
134049,21,21,0.284568,2.885756,5.672112155007199,251944.0
134067,24,24,0.331399,2.843984,5.1141428030096,251516.0
140006,15,15,0.277798,2.582198,4.543795377016068,245826.0
140088,22,22,0.254844,2.843236,6.296232972992584,246196.0
14085,15,15,0.122763,3.196998,4.541055131005123,247604.0
14092,18,18,0.289256,3.031469,5.091467334190384,244702.0
141012,4,4,0.434261,2.268567,3.983319682069123,250546.0
141048,7,7,0.454299,2.794517,4.159397145034745,251680.0
145059,31,31,0.423082,2.589611,7.518254155060276,249698.0
145079,21,21,0.289045,2.878472,5.222545882919803,251519.0
146074,38,38,0.235619,3.223404,9.678026620997116,248800.0
147077,21,21,0.345945,2.651071,5.568259663181379,252113.0
147080,28,28,0.402136,2.594170,8.118808991042897,250083.0
15011,34,34,0.252819,2.956829,7.929855387890711,250964.0
15062,16,16,0.450451,2.186314,4.579663953976706,249580.0
156054,44,44,0.093940,3.975671,8.827734739053994,246628.0
157032,12,12,0.118125,3.071682,5.540532894898206,245299.0
157087,28,28,0.382299,2.510760,7.090835099108517,251498.0
159002,19,19,0.183811,3.077138,5.420912198955193,245918.0
159022,7,7,0.348745,2.763838,5.90113535290584,236429.0
160006,18,18,0.247570,2.838697,5.786474097054452,242826.0
16004,36,36,0.338906,2.750035,8.843428582884371,249741.0
160067,7,7,0.429051,2.535263,5.113125456962735,242499.0
16068,8,8,0.262958,2.489736,3.994185386924073,248180.0
161045,9,9,0.181451,2.736007,5.965632714098319,241123.0
163004,21,21,0.395504,2.605653,5.7094997589010745,250354.0
163096,16,16,0.370769,2.537061,5.556139645865187,247255.0
164046,5,5,0.407674,2.145049,4.573031679959968,246016.0
168084,14,14,0.344097,2.475418,6.1282594869844615,242862.0
17067,17,17,0.384756,2.608991,4.892779435031116,244379.0
175083,8,8,0.288929,2.388041,4.247091019991785,255021.0
176051,5,5,0.509841,2.015364,7.233442902099341,243514.0
179084,19,19,0.298778,2.626143,5.494844375178218,242487.0
181021,22,22,0.084170,3.785095,6.336574587970972,247926.0
183066,8,8,0.461181,2.090797,6.631195019930601,246613.0
185092,20,20,0.133750,3.192628,5.856465630000457,240656.0
187058,22,22,0.168445,3.301149,5.288748339982703,253521.0
187099,29,29,0.237630,3.340543,5.758469636086375,249767.0
188025,42,42,0.193393,3.419408,8.855173374991864,248124.0
189006,33,33,0.274744,2.714183,7.44542687619105,246033.0
189013,23,23,0.212087,2.933112,6.930975112132728,242610.0
189029,22,22,0.234445,2.842324,6.372841967036948,244508.0
189096,25,25,0.370736,2.696234,7.383284094976261,251511.0
196027,8,8,0.317453,3.068937,5.875536612002179,237213.0
196040,56,56,0.195321,3.488611,9.846903441939505,247524.0
196062,8,8,0.399325,2.549211,4.734331689076498,246557.0
196088,11,11,0.218770,2.717130,4.172768679913133,250264.0
198087,60,60,0.160847,3.361081,13.408165024127811,243764.0
20069,15,15,0.234575,2.799611,7.954197439132258,246233.0
201080,19,19,0.154678,2.945046,5.4907953820656985,243688.0
2018,14,14,0.254920,2.751748,4.598080039024353,244750.0
202000,11,11,0.278065,2.604396,5.050982509972528,244866.0
206062,25,25,0.279976,2.756716,6.184491546824575,245260.0
206097,19,19,0.217362,2.931513,5.024209368042648,246489.0
207038,18,18,0.326981,2.668541,5.269424487836659,248713.0
207049,13,13,0.281059,2.763254,3.864607849158346,248281.0
208078,12,12,0.222820,3.268216,6.438920566113666,246046.0
209021,10,10,0.288676,3.031907,4.9045228029135615,247081.0
217013,18,18,0.154734,3.276207,5.34518873388879,245934.0
217090,13,13,0.390140,2.642809,5.229181935079396,252101.0
220003,33,33,0.116521,3.558587,8.727764345007017,253252.0
223004,18,18,0.171585,3.138794,5.558003751095384,242796.0
223060,15,15,0.351410,2.491774,4.841904867906123,247620.0
225022,19,19,0.105911,3.287603,5.673757709097117,245962.0
226022,28,28,0.060524,4.030351,6.691270069917664,248766.0
226033,29,29,0.184993,3.219612,6.529249093960971,251507.0
226043,61,61,0.104622,4.101804,14.49216349888593,251266.0
226060,41,41,0.202607,3.198445,10.104163680924104,247636.0
228076,22,22,0.183186,2.967747,6.265043797902763,243220.0
230063,33,33,0.194336,3.279676,8.406527834013104,247375.0
230098,18,18,0.302309,2.837239,5.21025071805343,248587.0
23050,60,60,0.320150,2.991159,13.483744269004092,252519.0
232076,6,6,0.334821,2.248956,5.354147741105408,244128.0
235098,41,41,0.238501,2.987547,8.507041804958135,248552.0
238025,8,8,0.272923,2.207930,4.6221043861005455,245496.0
243095,43,43,0.169688,3.341933,11.768696827115493,243079.0
