id,k,eigs,ri,voi
100007,8,8,0.752680,1.300845
100039,11,11,0.661014,1.716713
100099,6,6,0.458747,1.818973
10081,16,16,0.361094,2.325790
101027,12,12,0.300623,2.190895
101084,17,17,0.673243,2.126576
102062,37,37,0.093340,3.844101
103006,7,7,0.521868,2.400014
103029,9,9,0.448133,2.171730
103078,13,13,0.350477,2.471503
104010,13,13,0.227834,3.225288
104055,16,16,0.280991,2.424328
105027,5,5,0.519248,2.187368
106005,7,7,0.572294,1.727415
106047,4,4,0.465965,2.091593
107014,19,19,0.219389,3.192941
107045,13,13,0.256949,2.847423
107072,19,19,0.249724,2.781232
108004,5,5,0.363728,2.320491
108036,14,14,0.299519,2.922322
108069,3,3,0.606188,1.668559
109055,3,3,0.492606,2.149630
112056,4,4,0.714319,1.013356
112090,25,25,0.207797,3.152157
117025,20,20,0.251325,2.513542
118015,37,37,0.290234,2.741802
118031,23,23,0.277100,2.948711
118072,15,15,0.272046,3.044391
120003,29,29,0.277456,2.938847
120093,36,36,0.239860,2.824185
123057,15,15,0.388644,2.333762
128035,43,43,0.252364,2.880652
130014,7,7,0.387721,2.274302
130066,11,11,0.394184,2.222010
134049,21,21,0.098353,3.338927
134067,24,24,0.157637,3.296182
140006,15,15,0.685960,2.004714
140088,22,22,0.255727,2.892395
14085,15,15,0.267868,3.006344
14092,18,18,0.382379,3.022826
141012,4,4,0.384444,2.427639
141048,7,7,0.509788,2.424812
145059,31,31,0.279501,2.853360
145079,21,21,0.207462,2.984168
146074,38,38,0.376441,2.706488
147077,21,21,0.276755,2.829513
147080,28,28,0.331320,2.817028
15011,34,34,0.234652,2.920245
15062,16,16,0.437287,2.121219
156054,44,44,0.111581,3.700839
157032,12,12,0.338195,2.200310
157087,28,28,0.297884,2.753313
159002,19,19,0.193439,2.904604
159022,7,7,0.489782,2.144951
160006,18,18,0.444389,2.272067
16004,36,36,0.220523,2.904616
160067,7,7,0.621056,1.884701
16068,8,8,0.184092,2.684934
161045,9,9,0.513528,1.813334
163004,21,21,0.294040,2.765051
163096,16,16,0.445414,2.257239
164046,5,5,0.505932,1.616815
168084,14,14,0.261437,2.584848
17067,17,17,0.405358,2.576868
175083,8,8,0.392270,2.512296
176051,5,5,0.551404,1.571440
179084,19,19,0.381573,2.295655
181021,22,22,0.307658,3.348942
183066,8,8,0.394280,2.000277
185092,20,20,0.422393,2.182369
187058,22,22,0.250696,3.225582
187099,29,29,0.182643,3.395898
188025,42,42,0.158051,3.342205
189006,33,33,0.189576,2.967608
189013,23,23,0.249895,2.829192
189029,22,22,0.229701,2.834782
189096,25,25,0.231068,3.142293
196027,8,8,0.436588,2.347281
196040,56,56,0.130982,3.824239
196062,8,8,0.502393,2.041310
196088,11,11,0.238575,2.932800
198087,60,60,0.207566,3.130804
20069,15,15,0.226816,2.538918
201080,19,19,0.361399,2.263667
2018,14,14,0.309717,2.500105
202000,11,11,0.473565,1.724249
206062,25,25,0.271437,2.751128
206097,19,19,0.191629,3.062148
207038,18,18,0.340868,2.824821
207049,13,13,0.351041,2.499446
208078,12,12,0.263607,3.099593
209021,10,10,0.354991,2.658655
217013,18,18,0.297036,3.011820
217090,13,13,0.316441,2.757158
220003,33,33,0.096899,3.376863
223004,18,18,0.271918,2.858674
223060,15,15,0.312369,2.515007
225022,19,19,0.169639,2.798594
226022,28,28,0.345038,3.276616
226033,29,29,0.170347,2.961902
226043,61,61,0.088600,3.999253
226060,41,41,0.249087,2.998614
228076,22,22,0.247870,2.534907
230063,33,33,0.180336,3.170395
230098,18,18,0.284849,2.815788
23050,60,60,0.206034,3.126852
232076,6,6,0.572141,2.192576
235098,41,41,0.273646,2.815567
238025,8,8,0.704189,1.605574
243095,43,43,0.457799,2.713394
246009,7,7,0.331148,1.889086
247003,23,23,0.242302,3.467761
247012,12,12,0.404315,2.842420
249021,28,28,0.317827,2.977883
250047,11,11,0.457726,2.296883
250087,27,27,0.345407,2.535685
253016,38,38,0.184517,3.331527
253092,8,8,0.461334,2.381560
257098,15,15,0.449987,2.410563
258089,43,43,0.124346,3.482799
259060,20,20,0.276074,2.777572
267036,27,27,0.268587,3.007650
268048,20,20,0.234057,2.940958
268074,14,14,0.303967,2.995511
277053,32,32,0.098136,3.534488
279005,13,13,0.594585,1.438633
28083,18,18,0.333487,2.407062
281017,22,22,0.286432,2.588962
285022,12,12,0.492016,1.956429
288024,40,40,0.220963,3.326862
289011,24,24,0.354330,2.757940
290035,37,37,0.183277,3.052725
29030,21,21,0.368848,3.265433
296028,12,12,0.520072,1.982512
296058,22,22,0.303532,2.904008
302022,11,11,0.510395,2.000873
306051,13,13,0.284372,2.571083
306052,5,5,0.553932,1.817919
3063,6,6,0.399508,2.045031
309040,47,47,0.188724,3.242665
317043,11,11,0.345333,2.956445
326025,8,8,0.502574,2.282831
326085,10,10,0.590799,1.704209
33044,8,8,0.463734,2.113336
334025,9,9,0.563990,1.583374
335088,27,27,0.214937,3.529692
335094,21,21,0.211333,3.175479
344010,20,20,0.321858,2.502939
346016,12,12,0.327756,2.414434
347031,12,12,0.528798,1.857839
35028,14,14,0.410984,2.122882
35049,11,11,0.452585,2.207890
36046,12,12,0.580319,1.949772
365072,19,19,0.316951,2.507283
368037,30,30,0.215287,2.947487
372019,13,13,0.401224,2.067992
376086,15,15,0.242970,2.916591
384022,9,9,0.619290,1.433445
384089,23,23,0.338063,2.518457
385022,17,17,0.298088,2.624170
388006,14,14,0.328981,2.220640
388018,39,39,0.287955,2.906056
388067,56,56,0.323317,2.627799
393035,28,28,0.297688,2.806763
41006,6,6,0.510877,2.110366
41029,10,10,0.272982,2.391842
41085,13,13,0.449955,2.182960
41096,3,3,0.731083,1.120605
43033,4,4,0.578799,1.873341
43051,2,2,0.836452,0.744381
45000,39,39,0.186600,3.471093
48017,10,10,0.478187,2.138818
48025,26,26,0.136572,3.286772
49024,6,6,0.588500,1.465350
5096,19,19,0.465059,2.477292
51084,35,35,0.295472,2.634185
6046,23,23,0.428285,2.630500
61034,27,27,0.191363,3.058046
64061,17,17,0.243209,2.871788
65084,33,33,0.357930,2.586400
69000,9,9,0.433729,2.063654
69007,20,20,0.429735,2.394667
69022,3,3,0.529685,2.025463
70011,4,4,0.388455,2.346413
70090,6,6,0.472940,2.670125
71076,29,29,0.232224,3.003751
71099,28,28,0.299267,2.842996
77062,11,11,0.318387,2.897410
78098,21,21,0.095531,3.277379
79073,16,16,0.265720,2.865797
80085,23,23,0.382558,2.178292
80090,15,15,0.334187,2.608177
8068,9,9,0.574555,1.798958
81066,24,24,0.214156,2.809434
81090,58,58,0.216048,3.378768
81095,25,25,0.205679,2.997364
87015,6,6,0.373052,2.313820
92014,46,46,0.162741,3.456245
94095,24,24,0.163481,3.637981
97010,19,19,0.431609,1.983949
