id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.524377,1.731399,15.72455076314509,146779.0
100039,11,11,0.416439,2.272154,7.020033997949213,37499.0
100099,6,6,0.545591,1.989564,13.317528936080636,97769.0
10081,16,16,0.268041,2.635796,14.851762164151296,153688.0
101027,12,12,0.310223,2.312152,9.351119685918093,84315.0
101084,17,17,0.256295,2.977763,6.479480666108429,32261.0
102062,37,37,0.061618,4.065017,9.90546296001412,32942.0
103006,7,7,0.363412,2.756637,8.84027963411063,46569.0
103029,9,9,0.357664,2.688170,11.96699674683623,89910.0
103078,13,13,0.238002,2.872646,9.20418685185723,65943.0
104010,13,13,0.096596,3.415147,5.533844352932647,27218.0
104055,16,16,0.177838,2.835005,8.457998150959611,81027.0
105027,5,5,0.339832,2.689716,11.465290060965344,52891.0
106005,7,7,0.455875,1.945283,17.87902637803927,109509.0
106047,4,4,0.461834,2.403802,17.98702338989824,61800.0
107014,19,19,0.186663,3.251372,6.800567680038512,44234.0
107045,13,13,0.203996,2.935486,7.710507505107671,58843.0
107072,19,19,0.189774,3.048736,6.435234253061935,35086.0
108004,5,5,0.318094,2.580468,5.831251174909994,22020.0
108036,14,14,0.189460,3.189721,6.394132225075737,46719.0
108069,3,3,0.566954,1.864716,11.862399724079296,35980.0
109055,3,3,0.545042,1.833967,18.838178472127765,50942.0
112056,4,4,0.444982,2.089453,19.742570013972,98910.0
112090,25,25,0.259789,3.105703,7.8243209479842335,41385.0
117025,20,20,0.243765,2.643466,8.807422440964729,89470.0
118015,37,37,0.170559,3.259115,13.890887357993051,111426.0
118031,23,23,0.207132,3.296373,10.396112938178703,95951.0
118072,15,15,0.201602,3.125380,9.579159420914948,87125.0
120003,29,29,0.253389,2.889849,16.257150338962674,175370.0
120093,36,36,0.172052,3.204377,17.55305961309932,188703.0
123057,15,15,0.292924,2.725181,8.304129558149725,59413.0
128035,43,43,0.134876,3.330949,15.72918914607726,94478.0
130014,7,7,0.364792,2.624619,13.46042731916532,70117.0
130066,11,11,0.357451,2.328860,10.845103885047138,87137.0
134049,21,21,0.184583,3.372158,7.592392442049459,35583.0
134067,24,24,0.132569,3.569078,10.531259975861758,34797.0
140006,15,15,0.436712,2.225767,15.302730754949152,170679.0
140088,22,22,0.288410,2.855694,17.405170106096193,217333.0
14085,15,15,0.077133,3.308210,7.569563556928188,55592.0
14092,18,18,0.083063,3.156374,7.188724629115313,56608.0
141012,4,4,0.448507,2.258911,10.056212450144812,52383.0
141048,7,7,0.506482,2.231893,8.206009160960093,50675.0
145059,31,31,0.193682,3.195827,12.358484860975295,70305.0
145079,21,21,0.193755,3.225772,9.005458146799356,72908.0
146074,38,38,0.309431,2.798450,17.62906639301218,173248.0
147077,21,21,0.219824,3.043662,7.617087268969044,47541.0
147080,28,28,0.213309,3.161628,9.376385647105051,47261.0
15011,34,34,0.188744,3.153832,13.013105124002324,79315.0
15062,16,16,0.276306,2.535447,7.514149058843031,51759.0
156054,44,44,0.087553,4.022453,17.316908980021253,153396.0
157032,12,12,0.206724,2.695449,14.496319015976042,149209.0
157087,28,28,0.165992,3.151116,14.370016912929714,99025.0
159002,19,19,0.148547,3.130910,12.672251621959733,131350.0
159022,7,7,0.419755,2.552069,15.214597130892798,188993.0
160006,18,18,0.215807,2.968681,12.448087628930807,104909.0
16004,36,36,0.228175,3.205798,12.913385834079236,46338.0
160067,7,7,0.575004,2.268710,14.800483527127652,132480.0
16068,8,8,0.257384,2.595312,8.146660370053723,56189.0
161045,9,9,0.410845,1.868055,18.07015711814165,225033.0
163004,21,21,0.182080,3.169727,14.220967784989623,107690.0
163096,16,16,0.274483,2.619080,10.405020726844668,53156.0
164046,5,5,0.383259,2.385068,10.89135846402496,95002.0
168084,14,14,0.307507,2.456771,12.021155057940632,94459.0
17067,17,17,0.429592,2.388337,9.805497630033642,109933.0
175083,8,8,0.195036,2.866367,9.176914335926996,30155.0
176051,5,5,0.495773,1.836952,33.46431506611407,157146.0
179084,19,19,0.289721,2.561929,13.751942527946085,166829.0
181021,22,22,0.288460,3.583724,11.224116584053265,110085.0
183066,8,8,0.568977,1.960275,12.761739810928702,90211.0
185092,20,20,0.257897,2.771488,16.111415999010205,200507.0
187058,22,22,0.078207,3.664886,8.286849261960015,45016.0
187099,29,29,0.137266,3.744307,8.938911935081705,35000.0
188025,42,42,0.123150,3.566049,16.41853219596669,85344.0
189006,33,33,0.165008,3.204627,14.359895302914085,126766.0
189013,23,23,0.231867,2.866826,10.778252684976906,94521.0
189029,22,22,0.203068,2.844428,19.178619862999767,206307.0
189096,25,25,0.162091,3.216315,9.702356524998322,52532.0
196027,8,8,0.473021,2.369153,19.567327678203583,209529.0
196040,56,56,0.129087,3.905632,13.189856844954193,35175.0
196062,8,8,0.378739,2.633306,8.992720751091838,59889.0
196088,11,11,0.293997,2.867124,7.505377921042964,40148.0
198087,60,60,0.147299,3.405667,20.222673313925043,167879.0
20069,15,15,0.185753,2.915830,13.083673640852794,90154.0
201080,19,19,0.200705,2.763266,15.21784002892673,191233.0
2018,14,14,0.258584,2.570337,11.814316781936212,125298.0
202000,11,11,0.364053,2.097652,13.805898753926158,131253.0
206062,25,25,0.211891,3.063261,11.288885726127774,110964.0
206097,19,19,0.174390,3.108082,7.628117662156001,56904.0
207038,18,18,0.281261,3.139183,7.569886754034087,60796.0
207049,13,13,0.304887,2.660338,4.981366177089512,29443.0
208078,12,12,0.107581,3.264518,9.058253037044778,41300.0
209021,10,10,0.274218,3.142693,6.890605281107128,35747.0
217013,18,18,0.206309,3.558171,20.032721607014537,248438.0
217090,13,13,0.275212,3.106675,7.989911660784855,37934.0
220003,33,33,0.056984,3.936654,9.711731668096036,38937.0
223004,18,18,0.173680,3.098455,11.659578532911835,114636.0
223060,15,15,0.284581,2.633284,9.052372185047716,78973.0
225022,19,19,0.078583,3.325318,11.974482564022765,133744.0
226022,28,28,0.085435,3.497370,12.8453103560023,109573.0
226033,29,29,0.066831,3.953108,9.261849087895826,35889.0
226043,61,61,0.035646,4.349004,23.314888565801084,45968.0
226060,41,41,0.141191,3.421018,16.766007530037314,98601.0
228076,22,22,0.260092,2.640507,14.126279403222725,164321.0
230063,33,33,0.136174,3.439927,15.382681229850276,103938.0
230098,18,18,0.179477,3.044067,7.962413039058447,46907.0
23050,60,60,0.162034,3.330043,19.86872407188639,106603.0
232076,6,6,0.524126,2.358332,18.979154526023198,146605.0
235098,41,41,0.243405,2.991167,18.886544911190867,152503.0
238025,8,8,0.527570,2.362987,11.211520817130804,84757.0
243095,43,43,0.290078,3.030390,21.86353873391636,215479.0
246009,7,7,0.221490,2.330634,18.536185781937093,66679.0
247003,23,23,0.036994,3.994890,8.874883335083723,52886.0
247012,12,12,0.125359,3.136244,10.738298812881112,51519.0
249021,28,28,0.356155,2.970136,13.335241688182576,97728.0
250047,11,11,0.467177,2.515692,14.566783372079954,101611.0
250087,27,27,0.212385,2.905532,12.105031464947388,125578.0
253016,38,38,0.150416,3.474175,11.949479643022642,55212.0
253092,8,8,0.398520,2.652614,14.273773305118084,71179.0
257098,15,15,0.200864,3.226129,11.986653371946886,132914.0
258089,43,43,0.124641,3.669809,14.02240086812526,54210.0
259060,20,20,0.310279,2.820685,8.724381536943838,55651.0
267036,27,27,0.228845,3.070251,12.233524520881474,111661.0
268048,20,20,0.178402,3.330267,7.290059127146378,37627.0
268074,14,14,0.108922,3.455148,6.784776411019266,33068.0
277053,32,32,0.054272,3.902275,8.68383598094806,37988.0
279005,13,13,0.410415,2.045689,15.77645635488443,174436.0
28083,18,18,0.423730,2.428271,10.428711524931714,108535.0
281017,22,22,0.247742,2.845641,12.519955910043793,126443.0
285022,12,12,0.465741,2.207153,19.63328173290938,267755.0
288024,40,40,0.169419,3.539044,14.698130765929818,115308.0
289011,24,24,0.182711,3.450645,8.688306021969765,67339.0
290035,37,37,0.130367,3.418405,11.498899223050104,53055.0
29030,21,21,0.085172,3.544560,13.192715028999372,120151.0
296028,12,12,0.323276,2.478320,12.6967826790642,125449.0
296058,22,22,0.239740,3.120025,7.610408460022882,51382.0
302022,11,11,0.422670,2.222666,14.5009475229308,96747.0
306051,13,13,0.251640,2.744297,9.843843874987217,79132.0
306052,5,5,0.527148,2.102383,9.349105336004868,51253.0
3063,6,6,0.437515,2.305677,23.67095202999189,132363.0
309040,47,47,0.192022,3.363022,13.32488442515023,60037.0
317043,11,11,0.222778,3.061297,7.061034074053168,29313.0
326025,8,8,0.324315,3.047661,15.528554522898048,70804.0
326085,10,10,0.466795,2.108986,9.608810526086016,55048.0
33044,8,8,0.413204,2.251137,9.864437351934612,91380.0
334025,9,9,0.437231,1.982785,18.04951313394122,179706.0
335088,27,27,0.236201,3.320666,7.903631292982027,29645.0
335094,21,21,0.198081,3.105825,11.087370326044038,121827.0
344010,20,20,0.228853,3.045502,7.504156125942245,58307.0
346016,12,12,0.243251,2.887694,5.123765235999599,33899.0
347031,12,12,0.381948,2.344766,15.62606576899998,161926.0
35028,14,14,0.306684,2.343664,14.73974772915244,191950.0
35049,11,11,0.396608,2.429526,20.836244206875563,212804.0
36046,12,12,0.238352,2.648519,8.520336732966825,82073.0
365072,19,19,0.297414,2.751331,8.747611106140539,32123.0
368037,30,30,0.144829,3.266795,13.064267142908648,85267.0
372019,13,13,0.303453,2.547150,13.157652930123731,123049.0
376086,15,15,0.157136,3.345688,11.531168665038422,91167.0
384022,9,9,0.361882,2.329026,11.897997593972832,104922.0
384089,23,23,0.225905,2.958518,12.964530698023736,148890.0
385022,17,17,0.276361,2.629847,8.080903154797852,88835.0
388006,14,14,0.212056,2.670769,8.823971522971988,70570.0
388018,39,39,0.165127,3.307419,12.49163968884386,54881.0
388067,56,56,0.296882,2.746185,25.01542458985932,80720.0
393035,28,28,0.247445,2.983158,17.40688287001103,196100.0
41006,6,6,0.499021,2.036355,11.5898953480646,64820.0
41029,10,10,0.227712,2.654824,16.71734737791121,99207.0
41085,13,13,0.383483,2.378152,7.175737089943141,43750.0
41096,3,3,0.621059,1.226221,40.300417084945366,105223.0
43033,4,4,0.457961,2.148079,8.219169026007876,45217.0
43051,2,2,0.603717,1.654557,26.83176845801063,206571.0
45000,39,39,0.145997,3.697732,9.704458720982077,42469.0
48017,10,10,0.306941,2.754490,14.582635718164966,76833.0
48025,26,26,0.089972,3.501220,12.148779809009284,100880.0
49024,6,6,0.622180,1.439917,14.82856590510346,120865.0
5096,19,19,0.426013,2.514305,10.822912669973448,111448.0
51084,35,35,0.233759,2.998699,12.799542950000614,74157.0
6046,23,23,0.292526,2.928633,10.389508906984702,100480.0
61034,27,27,0.141398,3.325702,12.146392532857137,88266.0
64061,17,17,0.193153,3.174638,10.824109006905928,108219.0
65084,33,33,0.241901,2.960011,13.898375086952,123341.0
69000,9,9,0.377890,2.501901,17.792375271907076,127041.0
69007,20,20,0.317416,2.640311,14.167966186068952,162400.0
69022,3,3,0.454721,2.183241,11.267358206911013,37385.0
70011,4,4,0.391492,2.404699,14.170850173104554,69747.0
70090,6,6,0.366898,2.873131,16.543625311926007,61968.0
71076,29,29,0.161567,3.261471,12.397276777075604,80001.0
71099,28,28,0.221110,3.207090,11.823485317872835,104924.0
77062,11,11,0.320912,2.878249,7.522104776930064,42943.0
78098,21,21,0.179614,3.308150,8.172226990107447,47737.0
79073,16,16,0.322527,2.882663,6.457819448085502,34954.0
80085,23,23,0.364061,2.244960,18.861717716092244,235328.0
